"N","P","K","temperature","humidity","ph","rainfall","label"
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,"rice"
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,"rice"
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,"rice"
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,"rice"
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,"rice"
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,"rice"
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,"rice"
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,"rice"
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,"rice"
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,"rice"
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,"rice"
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,"rice"
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,"rice"
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,"rice"
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,"rice"
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,"rice"
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,"rice"
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,"rice"
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,"rice"
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,"rice"
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,"rice"
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,"rice"
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,"rice"
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,"rice"
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,"rice"
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,"rice"
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,"rice"
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,"rice"
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,"rice"
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,"rice"
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,"rice"
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,"rice"
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,"rice"
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,"rice"
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,"rice"
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,"rice"
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,"rice"
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,"rice"
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,"rice"
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,"rice"
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,"rice"
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,"rice"
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,"rice"
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,"rice"
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,"rice"
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,"rice"
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,"rice"
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,"rice"
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,"rice"
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,"rice"
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,"rice"
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,"rice"
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,"rice"
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,"rice"
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,"rice"
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,"rice"
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,"rice"
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,"rice"
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,"rice"
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,"rice"
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,"rice"
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,"rice"
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,"rice"
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,"rice"
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,"rice"
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,"rice"
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,"rice"
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,"rice"
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,"rice"
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,"rice"
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,"rice"
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,"rice"
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,"rice"
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,"rice"
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,"rice"
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,"rice"
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,"rice"
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,"rice"
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,"rice"
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,"rice"
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,"rice"
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,"rice"
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,"rice"
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,"rice"
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,"rice"
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,"rice"
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,"rice"
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,"rice"
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,"rice"
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,"rice"
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,"rice"
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,"rice"
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,"rice"
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,"rice"
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,"rice"
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,"rice"
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,"rice"
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,"rice"
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,"rice"
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,"rice"
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,"maize"
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,"maize"
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,"maize"
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,"maize"
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,"maize"
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,"maize"
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,"maize"
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,"maize"
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,"maize"
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,"maize"
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,"maize"
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,"maize"
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,"maize"
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,"maize"
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,"maize"
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,"maize"
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,"maize"
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,"maize"
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,"maize"
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,"maize"
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,"maize"
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,"maize"
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,"maize"
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,"maize"
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,"maize"
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,"maize"
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,"maize"
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,"maize"
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,"maize"
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,"maize"
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,"maize"
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,"maize"
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,"maize"
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,"maize"
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,"maize"
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,"maize"
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,"maize"
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,"maize"
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,"maize"
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,"maize"
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,"maize"
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,"maize"
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,"maize"
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,"maize"
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,"maize"
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,"maize"
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,"maize"
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,"maize"
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,"maize"
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,"maize"
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,"maize"
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,"maize"
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,"maize"
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,"maize"
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,"maize"
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,"maize"
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,"maize"
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,"maize"
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,"maize"
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,"maize"
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,"maize"
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,"maize"
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,"maize"
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,"maize"
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,"maize"
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,"maize"
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,"maize"
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,"maize"
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,"maize"
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,"maize"
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,"maize"
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,"maize"
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,"maize"
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,"maize"
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,"maize"
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,"maize"
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,"maize"
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,"maize"
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,"maize"
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,"maize"
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,"maize"
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,"maize"
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,"maize"
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,"maize"
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,"maize"
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,"maize"
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,"maize"
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,"maize"
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,"maize"
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,"maize"
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,"maize"
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,"maize"
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,"maize"
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,"maize"
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,"maize"
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,"maize"
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,"maize"
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,"maize"
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,"maize"
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,"maize"
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,"banana"
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,"banana"
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,"banana"
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,"banana"
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,"banana"
93,94,53,25.86632408,84.42379269,6.079178788,114.5357503,"banana"
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,"banana"
108,89,53,29.55054817,78.06762846,5.808497604,99.34482238,"banana"
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,"banana"
105,77,52,29.16226551,76.16151562,5.816622479,100.0075679,"banana"
118,88,52,28.65003945,82.68752542,5.843163161,98.75084366,"banana"
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,"banana"
95,75,50,28.08166093,75.26429821,5.623615687,118.2761894,"banana"
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,"banana"
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,"banana"
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,"banana"
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,"banana"
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,"banana"
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,"banana"
117,86,48,28.6956201,82.54195839,6.225225239,116.1616839,"banana"
114,94,53,26.33544853,76.8532006,6.190757459,118.6858263,"banana"
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,"banana"
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,"banana"
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,"banana"
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,"banana"
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,"banana"
112,73,48,29.2440638,77.32017166,5.707488987,90.66727868,"banana"
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,"banana"
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,"banana"
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,"banana"
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,"banana"
92,81,52,27.39341554,81.4654833,6.438137279,94.31102057,"banana"
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,"banana"
102,71,48,28.65456263,79.28693687,5.695267822,102.4633775,"banana"
94,91,51,29.16093424,76.67484233,5.618094446,109.575944,"banana"
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,"banana"
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,"banana"
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,"banana"
99,73,53,26.29039046,81.06003778,5.871702211,118.6730366,"banana"
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,"banana"
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,"banana"
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,"banana"
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,"banana"
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,"banana"
109,91,53,29.66727337,83.51014178,6.010095853,110.2511102,"banana"
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,"banana"
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,"banana"
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,"banana"
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,"banana"
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,"banana"
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,"banana"
116,81,55,26.42313317,83.6995044,5.915546415,95.12322062,"banana"
101,75,50,26.59386409,81.40740301,6.242528278,109.9825551,"banana"
93,81,50,27.71822477,76.57853189,6.036079266,102.2099836,"banana"
95,75,45,28.98333432,82.95958244,5.829898502,109.022564,"banana"
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,"banana"
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,"banana"
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,"banana"
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,"banana"
117,86,53,25.19640218,83.55829874,5.703381728,115.8586081,"banana"
111,79,53,28.31193338,75.77363772,6.165001278,119.695765,"banana"
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,"banana"
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,"banana"
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,"banana"
92,85,51,29.22118628,81.08183635,5.740764682,108.8616474,"banana"
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,"banana"
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,"banana"
92,75,45,29.01207743,77.95192527,5.674403359,90.43495443,"banana"
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,"banana"
120,87,52,28.0764455,76.05522115,5.905494703,118.9923573,"banana"
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,"banana"
