"N","P","K","temperature","humidity","ph","rainfall","label"
105,88,54,25.78749808,84.51194224,6.020445317,114.2005455,"banana"
98,79,50,25.34119774,84.47321314,6.435917308,91.06493353,"banana"
111,88,55,29.44795403,78.34971537,5.505393833,96.45042585,"banana"
97,74,45,26.47522633,78.51833782,5.677719902,113.1161095,"banana"
95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,"banana"
89,91,55,25.08347445,80.261731,6.275572298,94.32961456,"banana"
89,85,55,26.6719835,76.48541655,6.275384607,91.73358569,"banana"
118,88,51,25.44926208,79.49221962,6.201911642,100.6619171,"banana"
101,92,45,28.22776705,80.6430384,5.758054257,98.00403016,"banana"
99,92,47,28.1279509,77.48247073,6.323933647,103.5045395,"banana"
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,"banana"
90,86,55,27.96236771,84.15403614,5.644486582,97.55986676,"banana"
95,88,52,28.00316034,78.90085998,6.235461772,94.68180316,"banana"
104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,"banana"
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,"banana"
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,"banana"
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,"banana"
99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,"banana"
112,87,48,27.19711623,77.3970629,6.200111068,99.46950465,"banana"
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,"banana"
96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,"banana"
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,"banana"
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,"banana"
85,89,51,29.21144871,84.70189923,6.158164422,108.5501443,"banana"
108,94,47,27.35911627,84.54625006,6.387431383,90.81250457,"banana"
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,"banana"
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,"banana"
82,75,55,27.34585147,78.4873835,6.281069505,92.15524332,"banana"
117,81,53,29.50704598,78.20585613,5.507641778,98.12565829,"banana"
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,"mango"
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,"mango"
21,26,27,27.00315545,47.67525434,5.699586972,95.85118326,"mango"
25,22,25,33.56150184,45.53556603,5.977413803,95.70525913,"mango"
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,"mango"
20,19,35,34.17719782,50.62161586,6.113935087,98.00687989,"mango"
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,"mango"
18,17,31,31.74592134,45.16127859,5.667507706,93.75441586,"mango"
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,"mango"
30,28,30,31.86641378,52.19331595,5.064613314,98.46768642,"mango"
18,19,27,27.75518664,52.34605806,4.772385986,94.11213345,"mango"
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,"mango"
37,30,34,27.53907547,53.63549533,6.797779227,99.35408185,"mango"
11,27,30,27.69637763,48.5622488,6.39474303,89.85646496,"mango"
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,"mango"
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,"mango"
37,38,32,31.85744939,45.53106268,5.417340525,91.55845821,"mango"
26,37,30,35.39986338,49.45962621,6.166173834,97.41054011,"mango"
14,18,30,29.80747243,52.13797867,5.191265116,95.74606104,"mango"
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,"mango"
4,20,25,28.93270187,47.94053996,5.664587011,99.9834242,"mango"
36,25,33,27.98392787,53.33018851,5.548584852,99.61465679,"mango"
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,"mango"
28,37,28,32.13409675,50.52559148,6.097869767,98.63333684,"mango"
38,15,30,28.91862016,48.13974548,5.075504537,97.01331604,"mango"
12,37,30,31.09779147,47.41196659,4.546466109,90.28624348,"mango"
38,19,31,34.73823882,49.08864345,5.855119268,90.65022183,"mango"
8,33,29,29.98080499,49.48613279,6.442393461,91.82271568,"mango"
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,"mango"
34,16,25,30.07202564,50.96040505,6.10729559,92.09609766,"mango"
11,36,31,27.92063282,51.77965917,6.47544932,100.2585673,"mango"
33,29,34,31.40948821,49.21729127,6.832979509,92.99739415,"mango"
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,"mango"
12,34,28,33.36140093,45.02236377,6.13526938,98.81596545,"mango"
5,16,31,35.96054636,48.69677802,4.555688532,98.00644238,"mango"
1,30,29,28.33333307,51.39586505,6.434197756,91.67241761,"mango"
16,35,31,32.27652024,50.19368841,5.316875978,95.99487068,"mango"
35,18,26,31.99490489,50.84881347,5.279388967,97.38741498,"mango"
4,40,26,27.58258929,48.56916221,6.720041791,95.8445641,"mango"
9,29,34,29.38471637,45.88744691,5.72742254,100.8124659,"mango"
2,38,33,32.38697531,53.2328243,4.691396195,90.21633216,"mango"
26,32,32,30.91471455,49.92963856,6.810186079,90.14047759,"mango"
34,38,31,35.37775595,45.58110023,6.454045329,97.41586402,"mango"
5,32,33,32.32362177,52.5896771,5.842763773,93.36718816,"mango"
31,29,26,28.22373428,47.40519056,5.024124684,97.76832322,"mango"
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,"mango"
36,19,32,27.10710832,50.70880979,4.94295037,92.37238878,"mango"
7,17,26,34.89226666,48.75613373,6.414526606,91.63074547,"mango"
38,15,27,33.7462686,48.50387598,6.777788126,92.26439205,"mango"
5,19,25,27.3511056,54.43945147,6.441328044,96.27792547,"mango"
37,36,26,32.89300162,52.61323969,4.650536197,94.49161372,"mango"
21,31,32,35.38598705,51.42664176,5.254532213,90.29643888,"mango"
37,36,27,27.5529736,47.90859131,5.910634533,90.40332704,"mango"
23,23,30,32.82141065,47.45553843,4.755273631,90.89173106,"mango"
36,26,26,30.17294105,51.0845903,6.814630246,95.23444287,"mango"
24,33,35,29.26382931,54.82257868,5.342866119,100.7586226,"mango"
26,18,30,32.06097197,51.08494181,6.336234624,96.59816497,"mango"
22,17,26,28.69818144,47.71875722,4.754435025,99.642454,"mango"
11,34,32,29.14305008,49.40983294,6.831706773,97.55155537,"mango"
29,35,28,28.3471611,53.53903102,6.967417766,90.40260445,"mango"
22,28,26,27.67256197,45.41692012,4.947683034,92.84991507,"mango"
23,24,32,28.1218093,46.16888595,5.630619901,93.30247448,"mango"
1,35,34,30.79375683,46.69536813,6.27339822,92.21318555,"mango"
2,24,34,28.89409382,54.80750249,6.472774648,94.76322976,"mango"
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,"mango"
15,36,27,27.78912455,53.96886679,5.643710216,91.01152997,"mango"
3,18,31,31.65333432,48.20662669,6.392313973,91.09745581,"mango"
8,38,32,29.75150773,46.73723302,4.981816523,91.405983,"mango"
33,31,34,31.32995611,50.22287593,5.421265283,89.78216168,"mango"
14,29,32,35.63627319,48.97047762,6.942520105,97.51952041,"mango"
18,20,26,31.66524687,51.98594645,5.435840509,89.98024312,"mango"
9,21,32,32.26935342,53.56092806,5.870116071,95.94035356,"mango"
20,30,27,27.81005614,51.59445462,4.74910393,95.89898581,"mango"
9,38,25,34.58561471,50.34035336,5.497946899,100.3060719,"mango"
26,24,34,31.27180992,52.23810152,6.811291098,89.74409017,"mango"
31,36,29,33.93679864,52.72170281,6.460542749,97.4611918,"mango"
14,18,35,31.09154239,47.02058367,4.791146778,91.46664318,"mango"
40,16,35,31.89356292,49.02450149,6.4841522,89.59371481,"mango"
28,27,34,32.45465292,50.69693751,6.526654345,95.04871605,"mango"
0,17,30,35.47478322,47.97230503,6.279133738,97.79072474,"mango"
1,29,29,27.32961444,49.30347234,6.052026047,93.53197359,"mango"
2,36,31,30.90225239,49.95955487,5.73171945,91.77522598,"mango"
12,27,26,29.09382275,45.5661059,5.32307197,96.23520043,"mango"
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,"mango"
0,36,26,34.13072188,51.25786185,5.101206389,96.38808001,"mango"
26,35,31,33.44619894,53.05980465,5.339556562,98.05089394,"mango"
27,21,30,35.3915464,52.48823147,5.061081874,91.22881052,"mango"
22,38,31,31.53356352,53.06009323,5.821106036,98.57025046,"mango"
22,18,31,30.7645515,47.93791463,5.956027059,90.38503469,"mango"
28,23,28,30.01821337,50.0983181,5.676032581,96.08745082,"mango"
7,31,27,31.32863689,47.59319575,6.524114355,94.67344737,"mango"
29,34,26,33.88004781,54.39416048,6.273953676,89.29147581,"mango"
8,37,33,28.07802689,54.9640534,6.128167757,97.45373619,"mango"
39,16,27,35.53845018,52.94641947,4.934964765,91.54560427,"mango"
40,24,25,28.70595247,50.44030129,5.445008416,95.8946444,"mango"
19,38,26,31.48451729,48.77926304,4.525722333,93.17221967,"mango"
21,21,30,27.69819273,51.41593238,5.403908328,100.7720705,"mango"
22,18,33,30.41235793,52.48100602,6.621623545,93.92375879,"mango"
31,20,30,32.17752026,54.01352682,6.207495815,91.88766069,"mango"
18,26,31,32.6112614,47.74916499,5.418475257,91.10190759,"mango"
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,"watermelon"
119,19,55,25.18780042,83.44621709,6.818261383,46.87420883,"watermelon"
105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,"watermelon"
114,8,50,24.74631269,88.30866319,6.581587932,57.95826144,"watermelon"
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,"watermelon"
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,"watermelon"
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,"watermelon"
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,"watermelon"
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,"watermelon"
118,13,54,24.41311871,89.81574032,6.039584629,44.07843475,"watermelon"
83,25,53,26.49195283,80.04678201,6.057697106,57.72799157,"watermelon"
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,"watermelon"
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,"watermelon"
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,"watermelon"
104,17,46,25.7131428,80.22972777,6.190015912,43.08961827,"watermelon"
95,12,51,25.76484262,84.1726996,6.681606702,44.22066914,"watermelon"
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,"watermelon"
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,"watermelon"
81,18,50,26.80750629,88.22874955,6.429788073,58.79889057,"watermelon"
103,17,51,25.11189154,80.02621335,6.209888345,44.20656987,"watermelon"
105,14,50,26.2148837,87.6883982,6.419052193,59.65590798,"watermelon"
97,8,52,24.9103226,86.97190046,6.237861736,49.48575692,"watermelon"
120,19,49,25.79448878,84.26830701,6.762471629,56.45229202,"watermelon"
95,16,55,25.26931156,87.55055105,6.612847999,40.12650421,"watermelon"
83,29,52,25.76402693,87.5931128,6.704688865,46.05122728,"watermelon"
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,"watermelon"
91,21,50,24.33528185,81.44030363,6.762030215,48.32113628,"watermelon"
116,5,54,25.37601283,80.99313508,6.65398725,57.23028471,"watermelon"
112,28,54,24.86094646,85.05318563,6.738030547,55.29563514,"watermelon"
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,"watermelon"
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,"watermelon"
92,21,48,25.81692236,82.043255,6.377427122,54.82963379,"watermelon"
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,"watermelon"
99,5,47,24.13078816,84.84494575,6.649086972,51.19470197,"watermelon"
98,8,51,26.1793464,86.52258079,6.25933595,49.43050977,"watermelon"
108,22,46,26.17668721,86.7295205,6.121168559,53.33484977,"watermelon"
119,7,55,26.03867719,84.6378378,6.031424482,44.3993381,"watermelon"
117,27,48,26.53259325,82.39053979,6.835268184,54.30660782,"watermelon"
109,10,53,26.81938687,87.8274604,6.551750306,46.06193778,"watermelon"
80,16,46,25.50405534,81.40297428,6.940236218,48.47833278,"watermelon"
100,18,52,26.20234499,80.38266489,6.87606733,56.47941847,"watermelon"
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,"watermelon"
86,6,53,25.92030221,83.47202566,6.921847888,42.10681516,"watermelon"
107,5,52,26.6634609,89.98405233,6.881425746,57.40847165,"watermelon"
103,16,49,24.06731461,81.64075303,6.915717008,51.75212401,"watermelon"
101,20,48,24.6774157,82.75411437,6.206247494,57.05709413,"watermelon"
85,25,47,26.11440416,87.64081095,6.29542477,58.48160844,"watermelon"
84,7,51,26.81530456,87.65694462,6.399669044,55.74073582,"watermelon"
102,28,54,25.15623099,80.27525115,6.862157042,55.49541453,"watermelon"
98,25,52,25.2801372,83.15393658,6.224066378,49.29456609,"watermelon"
97,25,50,26.22005978,80.90127035,6.093814669,49.08553937,"watermelon"
90,16,45,24.92093261,80.61750795,6.291540278,50.55710813,"watermelon"
95,12,46,26.21667586,81.01009354,6.32281728,54.65423596,"watermelon"
82,23,49,26.81383586,87.21986949,6.873283991,51.70497792,"watermelon"
82,25,51,24.31334971,87.47409052,6.074209622,48.11248366,"watermelon"
110,28,46,24.29105004,88.04541346,6.49889585,51.26046418,"watermelon"
118,21,51,24.42998931,86.33904774,6.678805092,48.58241822,"watermelon"
120,20,45,25.66576039,88.6984228,6.114128685,54.22722466,"watermelon"
91,7,52,25.07803672,83.46230461,6.405054243,56.39962921,"watermelon"
81,6,55,24.88910524,85.87059083,6.110142735,51.70699144,"watermelon"
101,13,54,25.42900869,82.91481799,6.828982708,56.34144589,"watermelon"
101,17,55,24.37118217,87.1269128,6.451499764,44.63907691,"watermelon"
111,6,53,26.4930645,88.59143088,6.313512999,46.06382209,"watermelon"
107,10,49,25.83202912,89.00481725,6.755192025,45.24690619,"watermelon"
115,11,46,24.41592661,89.39655519,6.623167177,40.32161859,"watermelon"
84,25,52,24.37190239,81.2514818,6.12532356,44.20899581,"watermelon"
120,7,47,24.24782473,83.03687902,6.653867608,54.7657624,"watermelon"
91,12,46,24.64458469,85.49938185,6.343942518,48.31219031,"watermelon"
89,22,52,24.89681131,86.10782926,6.217300786,53.14626213,"watermelon"
113,19,46,25.41864024,81.12122989,6.286387658,49.52320689,"watermelon"
97,22,50,26.26028739,86.14585891,6.7698938,58.97878791,"watermelon"
117,30,50,24.90123934,87.20772913,6.744966312,46.59207341,"watermelon"
90,14,52,24.84740848,89.20454622,6.391858432,59.67927244,"watermelon"
104,23,47,26.98212846,86.70068316,6.770434148,42.91292205,"watermelon"
81,16,45,26.90435747,86.25426228,6.727468157,59.75980023,"watermelon"
88,5,47,25.86475496,86.67468041,6.662244646,41.16554802,"watermelon"
92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,"watermelon"
81,18,50,26.44019475,80.91934337,6.507110986,47.81847573,"watermelon"
111,5,55,26.283443,84.42478917,6.520663422,50.78669728,"watermelon"
108,23,51,26.84366082,83.85039964,6.106500787,40.228644,"watermelon"
113,30,50,26.03967219,83.9862443,6.277484043,43.87712348,"watermelon"
83,10,53,24.92994759,85.00802358,6.195142279,48.75859458,"watermelon"
101,11,51,25.50736962,84.24340241,6.792035575,44.2068997,"watermelon"
114,21,55,25.4438391,87.9392312,6.472756256,57.51549686,"watermelon"
99,6,45,26.12588914,86.5507939,6.000975617,40.71210074,"watermelon"
92,20,55,25.10474753,87.5267616,6.587791262,59.26519444,"watermelon"
92,7,48,26.27520631,86.63249555,6.956508826,54.38748495,"watermelon"
91,24,55,26.27061608,83.09194521,6.259086583,46.76837499,"watermelon"
110,21,54,26.73690828,87.82430156,6.747537642,47.46447019,"watermelon"
112,25,51,25.04746944,85.5667282,6.932537231,56.72496677,"watermelon"
89,25,54,24.69368934,85.56967628,6.353107393,48.99390828,"watermelon"
100,10,53,24.54356968,84.60808277,6.211748957,42.00660251,"watermelon"
83,22,54,25.89762315,81.96664832,6.277245254,54.49960057,"watermelon"
95,14,50,26.6333118,84.31756844,6.560443519,56.31866159,"watermelon"
119,30,49,25.35794749,80.45846265,6.903020221,47.72078245,"watermelon"
97,12,47,25.28784623,89.63667876,6.765094964,58.28697664,"watermelon"
110,7,45,26.63838589,84.69546874,6.189213927,48.32428609,"watermelon"
96,18,50,25.3310446,84.30533791,6.904241707,41.53218699,"watermelon"
83,23,55,26.89750174,83.89241484,6.463271076,43.97193745,"watermelon"
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,"watermelon"
115,17,55,27.57826922,94.11878202,6.776533055,28.08253201,"muskmelon"
114,27,48,27.82054812,93.03555162,6.528404378,26.32405487,"muskmelon"
101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,"muskmelon"
118,18,52,28.04943594,90.83130708,6.562832807,20.76223014,"muskmelon"
95,26,45,29.91690582,94.55695552,6.117530021,28.16057247,"muskmelon"
81,25,49,29.86895762,93.25103208,6.076459669,26.26243014,"muskmelon"
117,24,53,29.17220859,92.21405224,6.293486295,21.30290472,"muskmelon"
114,30,51,29.24908541,90.06998135,6.069171847,25.93496537,"muskmelon"
113,6,52,27.76317235,90.35567642,6.740983646,25.21609113,"muskmelon"
108,26,52,28.82629037,94.26765349,6.201797639,26.23838511,"muskmelon"
81,30,48,28.52379742,92.09688432,6.041027474,29.86681385,"muskmelon"
115,9,52,29.06785065,90.97685539,6.019372459,29.1194739,"muskmelon"
83,7,45,29.08417927,90.73891887,6.704104127,25.33014238,"muskmelon"
84,21,55,28.47090661,94.79453182,6.494251024,21.08484101,"muskmelon"
109,26,45,28.27973674,90.38971208,6.224535449,21.58992507,"muskmelon"
95,27,55,28.47212559,91.21322065,6.160414414,20.88620369,"muskmelon"
119,5,55,29.68846716,94.30111601,6.168757984,26.83924845,"muskmelon"
110,14,51,27.02415146,91.66737633,6.085444691,21.26034986,"muskmelon"
82,18,48,29.09588297,94.16748386,6.159050816,26.70581328,"muskmelon"
87,14,48,29.69238699,92.58862544,6.606033244,29.1102594,"muskmelon"
85,9,53,28.20619412,92.86798698,6.447662945,28.78654515,"muskmelon"
100,6,53,29.05248036,93.92217834,6.105909623,23.66620626,"muskmelon"
107,12,46,29.57240298,93.61870344,6.559763394,27.56918621,"muskmelon"
91,13,47,29.10968327,92.43510994,6.14410903,27.95602304,"muskmelon"
102,25,50,28.20480805,92.91440379,6.099662369,20.36001144,"muskmelon"
117,25,53,29.11858526,92.12543021,6.413927319,24.52020164,"muskmelon"
85,21,52,29.62800691,90.10051615,6.075144116,23.69586761,"muskmelon"
104,25,55,29.81196601,90.36881284,6.123802502,22.68766503,"muskmelon"
102,24,54,27.72338349,90.93897939,6.698468621,22.81863447,"muskmelon"
116,25,50,29.26092798,92.92367701,6.088885814,28.70627683,"muskmelon"
100,17,48,29.72791119,94.29753295,6.367800632,26.52364146,"muskmelon"
110,25,54,28.91105641,90.78413842,6.425930938,23.44398467,"muskmelon"
104,25,51,28.96361426,93.88482153,6.469983276,23.56130173,"muskmelon"
